,case,rmse,privacy,real,uniform,nclasses,uniform_original
9786,4tfNone_14_exponential,58.130917298668386,4,t,0,14,0
9787,4ff_14_exponential,211.96113061596532,4,f,0,14,0
9788,4ft_14_exponential,524.9195176405617,4,f,1,14,0
9789,4tt_14_exponential,407.47269847193445,4,t,1,14,0
9790,4mf_14_exponential,256.05238720453667,4,m,0,14,0
9791,4mt_14_exponential,535.1705335685066,4,m,1,14,0
9792,4tfNone_14_exponential,52.74233168823734,4,t,0,14,0
9793,4ff_14_exponential,200.13592259513177,4,f,0,14,0
9794,4ft_14_exponential,538.3053269288722,4,f,1,14,0
9795,4tt_14_exponential,411.27150399705545,4,t,1,14,0
9796,4mf_14_exponential,178.1636455869434,4,m,0,14,0
9797,4mt_14_exponential,535.6128499205373,4,m,1,14,0
9798,4tfNone_14_exponential,50.71833857325595,4,t,0,14,0
9799,4ff_14_exponential,236.14317612085475,4,f,0,14,0
9800,4ft_14_exponential,525.4115053936296,4,f,1,14,0
9801,4tt_14_exponential,399.63326938582077,4,t,1,14,0
9802,4mf_14_exponential,205.8696303506647,4,m,0,14,0
9803,4mt_14_exponential,520.9908828376942,4,m,1,14,0
9804,4tfNone_14_exponential,52.34667232040024,4,t,0,14,0
9805,4ff_14_exponential,220.25199891602762,4,f,0,14,0
9806,4ft_14_exponential,552.4760175790439,4,f,1,14,0
9807,4tt_14_exponential,418.5131419680868,4,t,1,14,0
9808,4mf_14_exponential,193.84715823488077,4,m,0,14,0
9809,4mt_14_exponential,539.4572503915393,4,m,1,14,0
9810,4tfNone_14_exponential,59.32688321535436,4,t,0,14,0
9811,4ff_14_exponential,223.55228418804447,4,f,0,14,0
9812,4ft_14_exponential,542.674971783295,4,f,1,14,0
9813,4tt_14_exponential,390.45006082724586,4,t,1,14,0
9814,4mf_14_exponential,243.8296894150047,4,m,0,14,0
9815,4mt_14_exponential,529.7605591208164,4,m,1,14,0
9816,4tfNone_14_exponential,50.40775034695845,4,t,0,14,0
9817,4ff_14_exponential,237.67221142331022,4,f,0,14,0
9818,4ft_14_exponential,556.1309423148473,4,f,1,14,0
9819,4tt_14_exponential,410.3378181450011,4,t,1,14,0
9820,4mf_14_exponential,165.66814191491525,4,m,0,14,0
9821,4mt_14_exponential,519.5778334378787,4,m,1,14,0
9822,4tfNone_14_exponential,53.193246393169645,4,t,0,14,0
9823,4ff_14_exponential,218.2843345845342,4,f,0,14,0
9824,4ft_14_exponential,556.3307244796031,4,f,1,14,0
9825,4tt_14_exponential,407.8429538437559,4,t,1,14,0
9826,4mf_14_exponential,205.9055789887629,4,m,0,14,0
9827,4mt_14_exponential,520.7102121141854,4,m,1,14,0
9828,4tfNone_14_exponential,47.89478179534959,4,t,0,14,0
9829,4ff_14_exponential,199.82363214731186,4,f,0,14,0
9830,4ft_14_exponential,561.847510451012,4,f,1,14,0
9831,4tt_14_exponential,395.668737708705,4,t,1,14,0
9832,4mf_14_exponential,182.06953769332537,4,m,0,14,0
9833,4mt_14_exponential,540.4692405678607,4,m,1,14,0
9834,4tfNone_14_exponential,54.72034346796572,4,t,0,14,0
9835,4ff_14_exponential,221.1486966594863,4,f,0,14,0
9836,4ft_14_exponential,517.8557955647499,4,f,1,14,0
9837,4tt_14_exponential,398.46863113675585,4,t,1,14,0
9838,4mf_14_exponential,241.44393458089695,4,m,0,14,0
9839,4mt_14_exponential,561.6752843057989,4,m,1,14,0
9840,5tfNone_14_uniform,27.32420921104747,5,t,0,14,1
9841,5ff_14_uniform,20.317549600794468,5,f,0,14,1
9842,5ft_14_uniform,32.59325083510399,5,f,1,14,1
9843,5tt_14_uniform,23.328951969602024,5,t,1,14,1
9844,5mf_14_uniform,9.173048022161357,5,m,0,14,1
9845,5mt_14_uniform,23.60847305524016,5,m,1,14,1
